inmobiliaria,precio canon,administracion,zona,ciudad,habitaciones,baños,metros_cuadrados,descripcion
,1800000.0,0.0,,Bogotá,1,1,39.0,"Apartaestudio En Arriendo En Centro Internacional, Bogotá Vive en el corazón de la ciudad sin renunciar al confort. Este acogedor loft de 39 m² con balcón ofrece una propuesta práctica y sofisticada: cocina integrada, iluminación natural pensada para quien trabaja desde casa y un diseño que aprovecha cada centímetro. Perfecto para profesionales que valoran la movilidad, ejecutivos en desplazamiento o parejas que buscan confort sin complicaciones. Ubicado en Centro Internacional, tendrás cerca transporte, cultura y todos los servicios de la ciudad —la vida urbana en su versión eficiente y elegante."
,2171650.0,128350.0,Zona centro,Bogotá,1,1,25.0,"Apartamento En Arriendo En Centro Internacional, Bogotá Código. nueve siete nueve ocho siete dos siete . Acogedor y funcional apartamento de un solo ambiente, ubicado en el Centro Internacional de Bogotá, una de las zonas más estratégicas y dinámicas de la ciudad. El inmueble cuenta con un espacio abierto que integra sala, alcoba y comedor, ofreciendo una distribución moderna y eficiente que maximiza cada metro cuadrado. Dispone de cocina integral, baño independiente y excelente iluminación natural, ideal para quienes buscan comodidad y practicidad en un solo lugar. Una opción ideal para quienes desean vivir en una zona central y con alta conectividad, disfrutando de un entorno urbano dinámico y contemporáneo. El edificio es un atractivo proyecto inmobiliario, desarrollado con los mejores estándares de diseño arquitectónico, ideado para amantes de la creatividad, con fácil acceso a las mejores universidades de Colombia y en medio de un destacado centro empresarial. Dispone de excelentes amenidades como Lobby, cooking lounge, gimnasio, patio privado y zonas verdes, parque de mascotas, piscina, sauna, zona humeda. Cuenta con zonas de servicio como cafeteria, lavanderia y zonas de comercio."
,1250000.0,0.0,Zona centro,Bogotá,2,1,44.6,"Apartamento En Arriendo En Ciudad Jardin Sur, Bogotá El apartamento 677-7 cuenta con sala-comedor, cocina integral, dos habitaciones con clóset, un baño y zona de lavado privada. Se encuentra ubicado en la carrera 10B No. 19-34 Sur, apartamento 201, barrio Ciudad Jardín."
,1700000.0,0.0,,Bogotá,1,1,33.0,"Apartaestudio En Arriendo En Teusaquillo, Bogotá Código. nueve ocho cero nueve seis cero siete . FAVOR NO COMISIONISTAS. Moderno, iluminado y acogedor apartaestudio de un ambiente con imponente vista panorámica desde piso 17 en el corazón de Teusaquillo. Ubicado dentro de un club house dotado de ascensor, gimnasio profesional, piscina, salón comunal, terraza panorámica, zona de lavandería, parq. visitantes y estricta vigilancia. Sector estratégico con múltiples vías de acceso y transporte público. Sin garaje. RQG"
,2200000.0,0.0,Zona centro,La macarena,1,1,37.0,"Apartamento En Arriendo En La Macarena Apartamento ubicado en sexto piso con un área de 37 m2 tiene una habitación independiente, un baño moderno, un parqueadero cubierto, ubicado en el barrio la Macarena. El apartamento tiene vista a los cerros orientales, acabados de primera mano, cocina con barra estilo americano, con horno y estufa eléctrica, el edificio tiene caldera, terraza, gimnasio, portería 24X7, zona de lavandería, zona de mascotas, salón de reuniones y está ubicado en una zona llena de cultura, restaurantes, universidades, cerca al sector financiero del centro internacional. El precio del arriendo es de $2’200.000 incluida la administración, el requisito es pasar el estudio de la aseguradora."
,2500000.0,0.0,Zona centro,Bogotá,1,1,41.0,"Apartamento En Arriendo En La Macarena, Bogotá Apartamento ubicado en un edificio exclusivo y moderno en el barrio La Macarena, está ubicado en cuarto piso, con vista interior y vista exterior, tiene zona de estudio u oficina independiente, está rodeado de ventanas termo acústicas, el inmueble tiene acabados de lujo, es un espacio de 41 m², cocina abierta, horno eléctrico y estufa eléctrica. El inmueble cuenta con servicio de caldera, parqueadero y administración incluida en el precio del arriendo que es de $2’500.000 El edificio cuenta con terraza con BBQ, zona de lavandería comunal, vigilancia 24 horas, gimnasio, bicicletero, planta eléctrica, cuarto de mascotas y salón comunal. El requisito es pasar el estudio de la aseguradora."
,2500000.0,0.0,Zona centro,Bogotá,1,1,45.0,"Apartamento En Arriendo En Las Nieves, Bogotá Increible apartamento, ubicado en el piso 12 del Edificio Akros, en el Centro de Bogotá (Calle 23 # 5 - 70). Este inmueble no solo ofrece una excelente ubicación, sino también una distribución inteligente del espacio y acceso a completas zonas sociales. Tiene ingreso de buena luz natural, cuenta con una cocina integral y una impresionante vista directa a la icónica Torre Colpatria. Dispone de una práctica zona de ropas, una versátil división ideal para estudio o zona de estar, una cómoda habitación con closet, un espacio adicional de closet para mayor almacenamiento y un baño completo. Incluye un parqueadero privado y un depósito. El edificio tiene un gimnasio completamente equipado, una terraza con vista 360 grados de la ciudad, zona de BBQ, parque infantil, salón social para eventos, cancha de squash, jacuzzi, turco y sauna. Si te interesa este inmueble ¡Contáctanos!"
,4100000.0,0.0,Zona centro,Bogotá,3,2,80.0,"Apartamento En Arriendo En Centro Internacional, Bogotá Descubra la vida urbana en su máxima expresión con este espectacular apartamento de 80 m² en el vibrante Centro Internacional. Este hogar inteligentemente diseñado cuenta con tres cómodas alcobas y dos baños completos, ofreciendo el espacio ideal para familias o profesionales. Incluye un práctico garaje sencillo. El edificio eleva su estilo de vida con amenidades de primer nivel: un moderno gimnasio para mantenerse activo, una cancha de squash para los entusiastas del deporte, un conveniente mini-market para sus compras diarias y un espacioso salón comunal perfecto para eventos y reuniones. Disfrute de la comodidad y el dinamismo de vivir en una de las zonas más estratégicas de la ciudad."
,1700000.0,150000.0,,Bogotá,1,1,37.0,"Apartaestudio En Arriendo En La Macarena, Bogotá Apartamentos en arriendo tipo LOFT semidotados, en el sector de La Macarena y el Centro Internacional. Diseñados para ofrecer comodidad y funcionalidad, con áreas desde 32 m² hasta 48 m², algunas unidades con balcón. Espacios iluminados, acabados modernos y opciones con o sin zona de lavandería hacen de La Quinta una excelente alternativa para estudiantes, profesionales y quienes buscan vivir en una ubicación estratégica. La movilidad es uno de sus mayores atractivos, con fácil acceso a transporte público y a pocos minutos de la Universidad Jorge Tadeo, Universidad de los Andes y Universidad Central. Además, está cerca de supermercados, centros comerciales y lugares icónicos como la Torre Colpatria y el Teatro Jorge Eliécer Gaitán."
,950000.0,0.0,,Bogotá,1,1,30.0,"Apartaestudio En Arriendo En La Candelaria, Bogotá se arrienda aparta estudio en belen candelaria entrada independiente, un baño, cocina semi integral, zona de lavanderia- salacomedor, en el nivel 2 alcoba con closet y cuarto de san alejo, servicio de gas compartido"
,1550000.0,300000.0,,Bogotá,1,1,31.0,"Apartaestudio En Arriendo En Centro Internacional, Bogotá ARRIENDO HERMOSO APARTA ESTUDIO CON LA MEJOR UBICACION DE LA CIUDAD, CON EXCELENTE VISTA HACIA LOS CERROS, Y MIRA A LA PLAZA DE TOROS , TIENE EL ESPACIO DE LA HABITACION, EL ESPACIO DE LA SALA, UN BAÑO, COCINA INTEGRAL ELECTRICA, ZONA DE LAVANDERIA, ESTE EDIFICIO SE ENCUENTRA AL LADO DE LA TORRE COLPATRIA, A LA PLAZA DE TOROS, Y CON VIAS DE ACCESO COMO LA CRA 7, LA CALLE 26, CRA 10, ENTRE OTRAS. EL CONJUNTO CUENTA CON LAVADORAS COMUNALES, GIMNASIO, SALA DE NEGOCIOS, TERRAZA, BBQ, SAUNA, Y JACUZZI. SI DESEAS MAYOR INFORMACION CONTACTAME ***"
,2000000.0,0.0,Zona centro,Bogotá,1,1,26.0,"Apartamento En Arriendo En Bogotá Apartamento Arriendo 26 mts Cundinamarca BOGOTÁ CENTRO INTERNACIONAL Codigo Coninsa:75645 Se arrienda apartaestudio con vista exterior ubicado en el piso 4 de un edificio residencial sobre la Avenida Caracas, en pleno Centro Internacional de Bogotá, una zona estratégica con excelente acceso a transporte público, servicios, universidades y centros empresariales el inmueble no cuenta con garaje y ofrece un espacio funcional, ideal para quienes buscan comodidad y buena ubicación en el centro de la ciudad el conjunto residencial dispone de zonas comunes como terraza con vista panorámica, gimnasio dotado y lavandería comunal, lo que complementa un estilo de vida práctico y confortable en una de las áreas más dinámicas de Bogotá."
,1500000.0,0.0,Zona centro,Bogotá,1,1,23.0,"Apartamento En Arriendo En Bogotá Apartamento Arriendo 23 mts Cundinamarca BOGOTÁ LAS NIEVES Codigo Coninsa:90279 Acogedor aparta estudio con closet, barra americana ubicado en un edificio el cual nos ofrece gimnasio, salon de Yoga, salas de lectura , zonas de ropas comunales, está cerca a la Universidad Central, Universidad Externado, a una cuadra de la Estación Universidades de Transmilenio, a una cuadra de la Av 19 El inmueble ideal para estudiantes"
,1440000.0,0.0,Zona centro,Bogotá,1,1,32.0,"Apartamento En Arriendo En Samper Mendoza, Bogotá Aparta estudio de 32M2, esta propiedad ofrece un ambiente acogedor y funcional. La distribución inteligente de sus espacios permite disfrutar de una habitación amplia con balcón tipo loft, closet empotrado, cocina integral eléctrica, calentador eléctrico (Por su calidad son ahorradores de energía), un baño completo con división de vidrio templado, iluminación natural y un parqueadero. Cuenta con una ubicación privilegiada en conjunto cerrado. El conjunto tiene terraza con vista 360 grados a la ciudad, zona de BBQ, parque para niños, sala de cine al aire libre, bicicletero, Gimnasio, salón de juegos, salón de eventos. Vivir en este lugar único que combina confort y ubicación privilegiada. ¡Haz de este aparta estudio tu nuevo hogar! Contáctanos y agenda una cita¡"
,2650000.0,0.0,,Bogotá,1,1,37.0,"Apartaestudio En Arriendo En Centro Histórico, Bogotá Espectacular apartaestudio amoblado en arriendo - Centro Historico Ubicado en la mejor zona de la ciudad, el Centro Histórico de Bogotá, este hermoso apartaestudio te permite vivir rodeado de museos, universidades y una vibrante zona turística, con todo al alcance de tu día a día. El inmueble se destaca por sus excelentes acabados, diseño único y espacios cuidadosamente ambientados, llenos de calidez y estilo. Se entrega totalmente amoblado, listo para que solo traigas tus maletas y comiences a disfrutarlo. Cuenta con: Habitación amplia con clóset y cama doble Baño de diseño moderno con acabados elegantes Cocina integral completamente equipada Mesón comedor con sillas, ideal para disfrutar tus comidas Sala acogedora con sillón y sillas, perfecta para compartir momentos especiales Una opción ideal para quienes buscan comodidad, estilo y una ubicación privilegiada en el corazón cultural de la ciudad."
,1500000.0,350000.0,,Bogotá,1,1,24.0,"Apartaestudio En Arriendo En La Perseverancia, Bogotá Se Arrienda, acogedor apartaestudio, con espacios abiertos, el área de alcoba lo divide un closet del área social, baño, cocina abierta con estufa de inducción, con una maravillosa vista a los cerros, excelente iluminación. El edificio cuenta con ascensores, parqueaderos para visitantes, gimnasio, piscina, sala de entretención, zona de BBQ, lavandería comunal Sport Bar, coworking y vigilancia 24/7. Su excelente ubicación permite fácil acceso a transporte público, parques, centros comerciales y universidades, convirtiéndose en una gran opción para quienes buscan confort y conveniencia en la ciudad. ¡No dejes pasar esta oportunidad! Contáctanos ahora y agenda tu visita."
,1900000.0,0.0,,Bogotá,1,1,25.0,"Apartaestudio En Arriendo En Las Aguas, Bogotá APARTAESTUDIO, CON VISTA EXTERIOR ESPECTACULAR, ESPACIO AMPLIO,CONSTA DE UNA HABITACIÓN,UNA PEQUEÑA SALA,COCINA INTEGRAL ELECTRICA,BAÑO,PISOS EN MADERA , GARAGE COMUNAL LAVANDERIA COMUNAL,CERCA A LA ESTACIÓN DE LAS AGUAS,AMOBLADO,CALENTADOR DE PASO ELECTRICO,BLACKOUTS."
,3500000.0,279940.0,Zona centro,Bogotá,1,2,60.0,"Apartamento En Arriendo En Centro Internacional, Bogotá Moderno apartaestudio dúplex ubicado en el sector del Centro Internacional, cerca de la zona bancaria y empresarial de la ciudad. Cuenta con excelente ubicación y fácil acceso por la Av. Caracas, Carrera 13 y Carrera 7. Cercano a estaciones de TransMilenio Calle 26, Calle 34 y Museo Nacional, y futura cercanía a la línea del Metro de Bogotá. En el primer nivel se encuentra sala comedor con amplia ventana y excelente vista panorámica, cocina integral abierta, zona de ropas independiente y baño social, en el segundo nivel se ubica la habitación amplia con baño privado y vestier. El conjunto cuenta con salones sociales, salón de juegos, parque infantil y gimnasio, excelente opción para vivir en una zona central con fácil acceso a transporte, comercio y servicios. 259-948"
,2300000.0,200000.0,,Bogotá,1,2,50.0,"Apartaestudio En Arriendo En Zona Centro, Bogotá Conoce este moderno apartamento de una alcoba independiente, sala, dos baños, zona de lavado y parqueadero privado. El edificio cuenta con vigilancia y ascensor. Ubicación estratégica en el Centro Internacional de Bogotá, sobre la avenida Caracas. Cuenta con vías de acceso como la Calle 26 Carrera 7 y Avenida Caracas; cercano a las mejores universidades de la ciudad, museos y al centro administrativo de la ciudad. Se admite macotas."
,2650000.0,671000.0,Zona centro,Bogotá,1,1,70.0,"Apartamento En Arriendo En La Macarena, Bogotá Macarena- Lindo dúplex de 70m primer piso exterior. Cuenta en la primera planta con sala comedor con chimenea, balcón amplio con vista, cocina abierta a gas, zona de lavandería, baño auxiliar, excelente luz natural. En la a segunda planta una alcoba, un baño y estudio abierto .Cuenta con un garaje independient, edificio con vigilancia permanente y magnífica terraza BBQ. A proximidad de universidades, parques y oferta cultural y gastronómica propias del sector. 567-267"
,1850000.0,0.0,Zona centro,Bogotá,1,1,27.0,"Apartamento En Arriendo En Centro Internacional, Bogotá Descubra la vida urbana en su máxima expresión con este espectacular apartaestudio loft a estrenar, un espacio de 27 m² diseñado para el confort y el estilo. Despierte cada día con una vista maravillosa al norte de la ciudad. Este exclusivo edificio redefine el concepto de amenidades, ofreciendo una zona de lavandería comunal para su comodidad. Próximamente, podrá disfrutar de una impresionante piscina, ideal para relajarse y desconectar. Para los momentos de concentración, una moderna zona de estudio. La diversión está garantizada con una sala de videojuegos, mientras que el innovador ""rest room"" ofrece un espacio único para el bienestar. Comparta momentos especiales en el elegante comedor y la sala de ensayos y música, pensada para los amantes del arte y la creatividad. Y esto es solo el comienzo, ya que el edificio promete muchas más sorpresas para enriquecer su estilo de vida. Este loft no es solo un hogar, es una experiencia de vida completa en el corazón de la ciudad."
,1500000.0,0.0,Zona centro,Bogotá,2,1,57.0,"Apartamento En Arriendo En Ciudad Berna, Bogotá [ARR] ID HOUM: 163535 Entérate de todos los beneficios al arrendar con nosotros: • Asistencia e intermediación con el propietario • Firma tu contrato online • Arrienda sin burocracia, sin papeleos ni notarías Departamento en arriendo, ubicado en el barrio Policarpa Salavarrieta, con una superficie construida de 57.00 m² y superficie total de 57.00 m². Sus principales características son: • No amoblado • 2 dormitorios • 1 baño • Admite mascotas • Piso 6 • Año de construcción: 1995 Además, el inmueble cuenta con las siguientes amenidades: • Vigilancia 24 hrs Si arriendas con nosotros, te brindamos asesoría personalizada durante todo el proceso. Requisitos para arrendar con nosotros: • Arrienda sin codeudor*, fácil, rápido y seguro • Demuestra un ingreso mensual neto de al menos 2.5 veces el valor del arriendo (los ingresos mensuales se pueden complementar por las personas que vivirán en este inmueble) • Completa tu información básica y mándanos tus extractos bancarios o documentos que demuestren tus ingresos • No debes tener reportes negativos en centrales de crédito IMPORTANTE: • Te invitamos a agendar una visita a esta propiedad • Si tienes alguna duda por favor puedes solicitar más información desde los portales como también contactarte directamente con nosotros Más que una inmobiliaria, somos Houm. *Aplican T&C"
,1750000.0,383000.0,,Bogotá,1,1,35.0,"Apartaestudio En Arriendo En San Diego, Bogotá Disfrute de un acogedor espacio en un magnífico apartamento con vista panorámica hacia el occidente de la ciudad, en piso alto, en excelente sitio del sector del centro san diego TORRE K, fácil acceso a cualquier lugar de la ciudad, dos ambientes, Balcón Garaje doble, el edificio cuenta con gimnasio dotado, zona de Coworking, salón de juegos terraza BBQ vista 360 grados. agende su cita. Nuestro equipo comercial de Áreas y Espacios Inmobiliarios atenderá sus inquietudes 820-649"
,1440000.0,0.0,,Bogotá,1,1,32.0,"Apartaestudio En Arriendo En Paloquemao, Bogotá Aparta estudio de 32M2, esta propiedad ofrece un ambiente acogedor y funcional. La distribución inteligente de sus espacios permite disfrutar de una habitación amplia con balcón tipo loft, closet empotrado, cocina integral eléctrica, calentador eléctrico (Por su calidad son ahorradores de energía), un baño completo con división de vidrio templado, iluminación natural y un parqueadero. Cuenta con una ubicación privilegiada en conjunto cerrado. El conjunto tiene terraza con vista 360 grados a la ciudad, zona de BBQ, parque para niños, sala de cine al aire libre, bicicletero, Gimnasio, salón de juegos, salón de eventos. Vivir en este lugar único que combina confort y ubicación privilegiada. ¡Haz de este aparta estudio tu nuevo hogar! Contáctanos y agenda una cita!"
,2300000.0,454000.0,Zona centro,Bogotá,1,1,53.0,"Apartamento En Arriendo En Parque Central Bavaria, Bogotá Apartamento en arriendo, con 53 metros cuadrados y ubicado cercano al centro administrativo de la ciudad, cuenta con una habitación, un baño, cocina tipo americana, sala-comedor, zona de ropas independiente, el edificio cuenta con gimnasio, oficinas en su propio centro de negocios, zona de BBQ, parque Infantil, sala de Juegos, zonas húmedas, además de todos los beneficios del edificio, cuenta con cómodas vías de acceso, vías principales, hermosa vista panorámica y en un piso alto. cercano a parques, centros comerciales, zonas comerciales, turísticas y administrativas, excelentes terminados y equipado con closet en la habitación."
,2000000.0,100600.0,Zona centro,Bogotá,2,1,39.0,"Apartamento En Arriendo En Usatama, Bogotá Inmobiliaria renta lindo apartamento ubicado en el centro de la ciudad, cuenta con vista panorámica ya que esta ubicado en un piso 28, consta de una habitación un estudio, sala comedor, cocina integral, un baño, apartamento para estrenar. El conjunto contara con varias zonas sociales, como gimnasio, zonas húmedas, club hause, BBQ, salones sociales y mucho mas. CONTACTENOS"
,1400000.0,0.0,Zona centro,Bogotá,2,1,35.0,"Apartamento En Arriendo En La Sabana, Bogotá El inmueble cuenta con sala-comedor, cocina abierta integral, zona de lavandería, una cómoda alcoba con clóset, estudio independiente y un baño completo. El edificio ofrece atractivas zonas comunes como terraza con vista panorámica 360°, zona BBQ, coworking, salón comunal y próximamente gimnasio."
,6200000.0,580000.0,Zona centro,Bogotá,3,3,167.0,"Apartamento En Arriendo En La Candelaria, Bogotá Penthouse en venta o Ariendo en el centro de Bogotá, la Macarena Descripcion: al ingresar, una amplia sala comedor con chimenea funcional te recibe con calidez y amplitud, realzada por una pared en mármol importado de Chile que aporta carácter y distinción. El espacio se integra con una cocina abierta, práctica y luminosa, donde los mesones en mármol italiano reflejan elegancia y gusto por el detalle. Desde sus ventanales, Bogotá se extiende a tus pies con Monserrate al frente, ofreciendo una vista inigualable que transforma cada amanecer en un espectáculo. La zona privada dispone de un espacio ideal para estudio, dos alcobas auxiliares con clóset, un baño social y una alcoba principal con baño privado y walking clóset, todos con acabados finos y un diseño atemporal. El conjunto residencial ofrece un entorno natural y exclusivo, rodeado de bienestar, con reserva forestal, salón social, zonas BBQ, cancha de tenis, cancha múltiple, parque de perros, parque infantil y bicicletero. Incluye dos parqueaderos comunales. Administración mensual: $580.000 Predial anual: $2.200.000 Valor de venta: $975.000.000"
,1950000.0,0.0,Zona centro,Bogotá,1,1,24.0,"Apartamento En Arriendo En Bogotá Apartamento Arriendo 24 mts Cundinamarca BOGOTÁ LAS NIEVES Codigo Coninsa:90346 Acogedor aparta estudio para estrenar amoblado, con vista exterior a los cerros, con entrada de sol en horas de la mañana, cuenta con clóset, escritorio, cama, tv, comedor, nevera, lavadora, excelentes acabados, el proyecto nos ofrece zonas sociales como terraza, BBQ, lavandería, gym, bicicletero, coworking y sala tv. Ubicado cerca a la universidad de los andes, universidad central, universidad Jorge Tadeo Lozano, universidad américa, centro histórico, y teatro Jorge Eliecer Gaitán, supermercados, gimnasios, colegios privados y distritales. Un inmueble ideal para parejas o personas solas"
,1750000.0,0.0,Zona centro,Bogotá,2,2,120.0,"Apartamento En Arriendo En Ciudad Berna, Bogotá Apartamento remodelado en arriendo barrio San Antonio, con un área de 120 metros cuadrados distribuidos en 2 habitaciones con closet, 2 baños, se puede adaptar para sala comedor o espacio de garaje, cocina semi integral a gas, zona de lavandería y un espacio amplio a la entrada donde puede guardar su auto o ampliar su sala. Este inmueble ofrece un ambiente acogedor con entrada independiente. Ubicado cerca de la carrera 24 y el barrio Restrepo, cerca de colegios. Disfruta de la tranquilidad que brinda. ¡Haz de este lugar tu nuevo hogar!"
,1600000.0,0.0,Zona centro,Bogotá,2,2,50.0,"Apartamento En Arriendo En Olaya, Bogotá Apartamento en arrendamiento ubicado en el barrio Olaya, Edificio Balcones del Olaya, Apto 402 con garaje No. 14. Consta de sala comedor, cocina integral, dos alcobas con clósets, dos baños, zona de lavandería y pisos en cerámica; cuenta con servicios de agua, luz y gas. Apartamento para estrenar, con excelente ubicación cerca del Estadio Olaya Herrera, la Avenida Caracas, la Carrera 24 y el punto de atención de Salud Total EPS Olaya, con fácil acceso a transporte y servicios."
